# Mix output version 2
# Starting tid 0
# Start counting for tid 0
# Starting tid 1
# Starting tid 2
# Starting tid 3
# Starting tid 4
# Starting tid 5
# Starting tid 6
# Starting tid 7
# Stop counting for tid 0
# FINI: end of program
# ==============================================
# STATS FOR TID 0 EMIT# 1
# ==============================================
# EMIT_TOP_BLOCK_STATS FOR TID 0 EMIT # 1
BLOCK:     0   PC: 00000000004036d7   ICOUNT: 252108000   EXECUTIONS:  25210800   #BYTES: 38   %:  69.1   cumltv%:  69.1  FN: conj_grad_.omp_fn.5
BLOCK:     1   PC: 000000000040130f   ICOUNT:  19581270   EXECUTIONS:   3916254   #BYTES: 17   %:  5.37   cumltv%:  74.5  FN: sparse_.omp_fn.1
BLOCK:     2   PC: 0000000000401329   ICOUNT:  11532600   EXECUTIONS:   1153260   #BYTES: 36   %:  3.16   cumltv%:  77.7  FN: sparse_.omp_fn.1
BLOCK:     3   PC: 0000000000403538   ICOUNT:  10084320   EXECUTIONS:   1008432   #BYTES: 38   %:  2.77   cumltv%:  80.4  FN: conj_grad_.omp_fn.6
BLOCK:     4   PC: 00000000004037f0   ICOUNT:   7691200   EXECUTIONS:    349600   #BYTES: 89   %:  2.11   cumltv%:  82.5  FN: conj_grad_.omp_fn.5
BLOCK:     5   PC: 000000000040128a   ICOUNT:   6939790   EXECUTIONS:   1387958   #BYTES: 15   %:   1.9   cumltv%:  84.4  FN: sparse_.omp_fn.1
BLOCK:     6   PC: 0000000000401320   ICOUNT:   5525988   EXECUTIONS:   2762994   #BYTES:  4   %:  1.52   cumltv%:    86  FN: sparse_.omp_fn.1
BLOCK:     7   PC: 0000000000401324   ICOUNT:   5525988   EXECUTIONS:   2762994   #BYTES:  5   %:  1.52   cumltv%:  87.5  FN: sparse_.omp_fn.1
BLOCK:     8   PC: 00000000004036c1   ICOUNT:   5250000   EXECUTIONS:    350000   #BYTES: 60   %:  1.44   cumltv%:  88.9  FN: conj_grad_.omp_fn.5
BLOCK:     9   PC: 00000000004038ca   ICOUNT:   3845600   EXECUTIONS:    349600   #BYTES: 43   %:  1.05   cumltv%:    90  FN: conj_grad_.omp_fn.5
BLOCK:    10   PC: 0000000000403685   ICOUNT:   3496000   EXECUTIONS:    349600   #BYTES: 32   %: 0.959   cumltv%:  90.9  FN: conj_grad_.omp_fn.5
BLOCK:    11   PC: 00000000004012bc   ICOUNT:   2799080   EXECUTIONS:   1399540   #BYTES:  4   %: 0.768   cumltv%:  91.7  FN: sparse_.omp_fn.1
BLOCK:    12   PC: 00000000004012c0   ICOUNT:   2790632   EXECUTIONS:   1395316   #BYTES:  4   %: 0.765   cumltv%:  92.5  FN: sparse_.omp_fn.1
BLOCK:    13   PC: 00000000004012c4   ICOUNT:   2775916   EXECUTIONS:   1387958   #BYTES:  9   %: 0.761   cumltv%:  93.2  FN: sparse_.omp_fn.1
BLOCK:    14   PC: 00000000004012cd   ICOUNT:   2775916   EXECUTIONS:   1387958   #BYTES:  5   %: 0.761   cumltv%:    94  FN: sparse_.omp_fn.1
BLOCK:    15   PC: 0000000000403750   ICOUNT:   2447200   EXECUTIONS:    349600   #BYTES: 26   %: 0.671   cumltv%:  94.7  FN: conj_grad_.omp_fn.5
BLOCK:    16   PC: 0000000000401320   ICOUNT:   2306520   EXECUTIONS:   1153260   #BYTES:  4   %: 0.632   cumltv%:  95.3  FN: sparse_.omp_fn.1
BLOCK:    17   PC: 0000000000401324   ICOUNT:   2187164   EXECUTIONS:   1093582   #BYTES:  5   %:   0.6   cumltv%:  95.9  FN: sparse_.omp_fn.1
BLOCK:    18   PC: 00000000004036b0   ICOUNT:   1400000   EXECUTIONS:    350000   #BYTES: 15   %: 0.384   cumltv%:  96.3  FN: conj_grad_.omp_fn.5
BLOCK:    19   PC: 0000000000401b04   ICOUNT:   1086334   EXECUTIONS:     63902   #BYTES: 58   %: 0.298   cumltv%:  96.6  FN: sparse_.omp_fn.2
# END_TOP_BLOCK_STATS
# EMIT_DYNAMIC_STATS FOR TID 0 EMIT #1
#
# $dynamic-counts
#
# TID 0
# opcode                             count
#
ADC                                   1193
ADD                               30493037
ADDSD                             28112285
AND                                  33691
ANDPD                                    1
BSF                                    318
BSR                                     86
BT                                     194
CALL_NEAR                            55151
CDQE                                   468
CMOVB                                 1872
CMOVBE                                  79
CMOVL                                  186
CMOVLE                                  33
CMOVNB                                  17
CMOVNBE                                575
CMOVNL                                  41
CMOVNLE                               1739
CMOVNS                                  65
CMOVNZ                                2479
CMOVS                                   36
CMOVZ                                  882
CMP                               42106963
CMPSB                                  248
CMPXCHG                               2109
CPUID                                   10
CVTPS2PD                                 1
CVTSI2SD                             24511
CVTSI2SS                                 1
CVTTSD2SI                            40837
DEC                                   1446
DIV                                    640
DIVSD                                  840
EMMS                                   132
FLDCW                                    1
FNSTCW                                   1
FWAIT                                    1
IDIV                                  1736
IMUL                                240886
INC                                  14952
JB                                  198719
JBE                                   7915
JL                                   64035
JLE                                 589263
JMP                                7237904
JNB                                   3215
JNBE                                 15418
JNL                                1525329
JNLE                               5553111
JNS                                    288
JNZ                               27142943
JP                                       3
JS                                    1962
JZ                                 8527358
LDMXCSR                                  3
LEA                               28504352
LEAVE                                  958
LFENCE                                  10
MFENCE                                 261
MOV                               21347241
MOVAPD                             1143389
MOVAPS                                  36
MOVD                                   401
MOVDQA                                 486
MOVDQU                                  56
MOVHPD                                  40
MOVLPD                                  40
MOVQ                                  1145
MOVSD_XMM                         29630334
MOVSX                                 2594
MOVSXD                            62337662
MOVZX                                19469
MUL                                   1153
MULSD                             28513943
NEG                                   1728
NOP                                   7954
NOT                                    218
OR                                    5081
PAND                                     4
PAUSE                               194680
PCMPEQB                                490
PCMPGTB                                  4
PCMPISTRI                               11
PMOVMSKB                               464
POP                                  48954
POPCNT                                  16
POR                                    143
PSHUFD                                 137
PSLLDQ                                   6
PSLLQ                                  272
PSRLDQ                                   1
PSRLQ                                  272
PSUBB                                   26
PUNPCKLBW                              272
PUNPCKLQDQ                               7
PUSH                                 50078
PXOR                                   325
RDTSC                                   24
RET_NEAR                             55148
ROL                                    258
ROR                                      5
SAR                                   2400
SBB                                    417
SCASB                                   27
SETB                                     1
SETLE                                   62
SETNBE                                  38
SETNLE                                 317
SETNP                                   36
SETNZ                                 2701
SETZ                                  3196
SHL                                  12587
SHR                                  10169
SQRTSD                                  32
STMXCSR                                  3
STOSD                                  180
STOSQ                                 3000
SUB                               38842919
SUBSD                               364899
SYSCALL                               2347
TEST                               1523617
UCOMISD                                 43
UNPCKLPS                                 1
XADD                                  2209
XCHG                                    37
XOR                                  20188
XORPD                                  851
*mem-atomic                           5531
*stack-read                        1212537
*stack-write                        684668
*iprel-read                          57132
*iprel-write                           827
*mem-read-1                          42267
*mem-read-2                           5927
*mem-read-4                       35240148
*mem-read-8                       70561911
*mem-read-16                           301
*mem-write-1                         17771
*mem-write-2                           226
*mem-write-4                       1553032
*mem-write-8                       3666039
*mem-write-16                          171
*isa-ext-BASE                    214489123
*isa-ext-LONGMODE                 62343477
*isa-ext-MMX                          2108
*isa-ext-SSE                            44
*isa-ext-SSE2                     87834852
*isa-ext-SSE4                           27
*isa-ext-X87                             3
*scalar-simd                      86687725
*total                           364669634
# END_DYNAMIC_STATS
# FUNCTION TOTALS FOR TID 0
#rank        total     %   cumulative%      address  function name
   0:    276663600  75.867  75.867            403615 conj_grad_.omp_fn.5
   1:     70547464  19.346  95.213            401067 sparse_.omp_fn.1
   2:     10617568   2.912  98.124            403476 conj_grad_.omp_fn.6
   3:      1480070   0.406  98.530        3bc6c09760 omp_get_num_procs
   4:      1119631   0.307  98.837            401a5f sparse_.omp_fn.2
   5:       893590   0.245  99.082            400f9c sparse_.omp_fn.0
   6:       444859   0.122  99.204            400ebc sprnvc_
   7:       404494   0.111  99.315            4015ce MAIN__.omp_fn.8
   8:       337408   0.093  99.408            403339 conj_grad_.omp_fn.4
   9:       255468   0.070  99.478        3bc6c07da0 GOMP_taskwait
  10:       163672   0.045  99.522            4013d2 makea_.omp_fn.3
  11:       158160   0.043  99.566            4017bd MAIN__.omp_fn.12
  12:       147015   0.040  99.606            404780 randlc_
  13:       126102   0.035  99.641            401bc5 sparse_
  14:       115967   0.032  99.673      2b11fa524590 _gfortran_st_backspace
  15:        97457   0.027  99.699        3bc4009370 do_lookup_x
  16:        92355   0.025  99.725            401891 MAIN__.omp_fn.13
  17:        73500   0.020  99.745            400e5d vecset_
  18:        68686   0.019  99.764      2b11faab51e0 _int_malloc
  19:        59451   0.016  99.780      2b11fab61eb0 _dl_addr
  20:        58933   0.016  99.796        3bc4017410 strcmp
  21:        55224   0.015  99.811        3bc6c07810 GOMP_single_copy_start
  22:        53781   0.015  99.826      2b11faab4570 _int_free
  23:        45456   0.012  99.838      2b11faa85e40 __printf_fp
  24:        43346   0.012  99.850      2b11fa5306d0 _gfortran_transfer_real
  25:        43277   0.012  99.862        3bc4009d00 _dl_lookup_symbol_x
  26:        37663   0.010  99.872      2b11fa5326c0 _gfortran_st_read
  27:        32668   0.009  99.881            400e50 icnvrt_
  28:        30288   0.008  99.890        3bc400b300 _dl_relocate_object
  29:        27890   0.008  99.897      2b11faa85ab0 hack_digit.15673
  30:        20500   0.006  99.903      2b11faa80250 _IO_vfprintf
  31:        20056   0.005  99.909        3bc400ee60 _dl_name_match_p
  32:        19945   0.005  99.914      2b11faa7dae0 __mpn_divrem
  33:        19906   0.005  99.919      2b11faab68a0 __libc_malloc
  34:        16048   0.004  99.924        3bc6c07490 GOMP_parallel_end
  35:        14264   0.004  99.928      2b11faa7e610 __mpn_mul_1
  36:        13520   0.004  99.931      2b11faa71240 getenv
  37:        12100   0.003  99.935      2b11faab76d0 cfree
  38:        11008   0.003  99.938            403902 conj_grad_
  39:        10813   0.003  99.941        3bc4009200 check_match.12444
  40:        10544   0.003  99.944            40190e MAIN__.omp_fn.9
  41:         9912   0.003  99.946        3bc6c075d0 GOMP_parallel_start
  42:         9535   0.003  99.949      2b11fa52eaf0 _gfortran_transfer_array
  43:         9332   0.003  99.952      2b11faa680d0 __ctype_toupper_loc
  44:         7590   0.002  99.954        3bc6c03780 GOMP_barrier
  45:         6841   0.002  99.955      2b11faab07f0 _IO_default_xsputn
  46:         6605   0.002  99.957        3bc400df00 _dl_fixup
  47:         6312   0.002  99.959        3bc4006fe0 _dl_map_object_from_fd
  48:         6203   0.002  99.961        3bc4008b10 _dl_cache_libcmp
  49:         6157   0.002  99.962            4019e2 MAIN__.omp_fn.10
  50:         5692   0.002  99.964        3bc400fb00 _dl_check_map_versions
  51:         5669   0.002  99.966      2b11faac5820 memcpy
  52:         5016   0.001  99.967      2b11faa730f0 ____strtoll_l_internal
  53:         4607   0.001  99.968        3bc40081e0 _dl_map_object
  54:         4425   0.001  99.969        3bc400c770 _dl_map_object_deps
  55:         4407   0.001  99.971            40174e MAIN__.omp_fn.11
  56:         3425   0.001  99.972            400bb0 .plt
  57:         3360   0.001  99.972        3bc6c03640 .text
  58:         3283   0.001  99.973        3bc6c07350 omp_get_num_threads
  59:         3030   0.001  99.974      2b11fa484970 .plt
  60:         2828   0.001  99.975        3bc400f730 match_symbol
  61:         2505   0.001  99.976      2b11faabfb90 __GI_memset
  62:         2493   0.001  99.976      2b11faac6ca0 strchrnul
  63:         2430   0.001  99.977        3bc4017db0 memset
  64:         2396   0.001  99.978      2b11faa7dfa0 __mpn_rshift
  65:         2332   0.001  99.978      2b11faaab930 vsnprintf
  66:         2250   0.001  99.979        3bc4005350 open_verify
  67:         2035   0.001  99.979        3bc4008c30 _dl_load_cache_lookup
  68:         2017   0.001  99.980        3bc4018300 mempcpy
  69:         2011   0.001  99.981      2b11faaa2bb0 fflush
  70:         1977   0.001  99.981        3bc40058f0 open_path
  71:         1890   0.001  99.982      2b11faab1960 _IO_str_init_static_internal
  72:         1821   0.000  99.982        3bc4017520 __GI_strlen
  73:         1701   0.000  99.983        3bc40146e0 _dl_runtime_resolve
  74:         1610   0.000  99.983      2b11faa7e050 __mpn_mul
  75:         1582   0.000  99.983        3bc4c0a630 __pthread_mutex_unlock
  76:         1571   0.000  99.984            402097 MAIN__
  77:         1560   0.000  99.984        3bc400acc0 _dl_new_object
  78:         1540   0.000  99.985      2b11faa701b0 bsearch
  79:         1536   0.000  99.985        3bc6c03398 .plt
  80:         1504   0.000  99.986        3bc4c093d0 __pthread_mutex_trylock
  81:         1476   0.000  99.986        3bc4002610 dl_main
  82:         1456   0.000  99.986        3bc4c06860 pthread_create
  83:         1447   0.000  99.987        3bc400e790 _dl_sort_fini
  84:         1407   0.000  99.987        3bc6c07370 omp_get_thread_num
  85:         1376   0.000  99.988        3bc4015f80 __libc_memalign
  86:         1350   0.000  99.988      2b11fa5465c0 _gfortran_f2c_specific__abs_c4
  87:         1292   0.000  99.988        3bc6c095d0 omp_unset_lock
  88:         1256   0.000  99.989      2b11faac06b0 __mempcpy
  89:         1175   0.000  99.989      2b11fa530570 _gfortran_st_write_done
  90:         1162   0.000  99.989        3bc4011860 _dl_allocate_tls
  91:         1134   0.000  99.990      2b11faaafb90 _IO_old_init
  92:         1096   0.000  99.990      2b11faa8b420 snprintf
  93:         1091   0.000  99.990        3bc4c09220 __pthread_mutex_lock
  94:         1080   0.000  99.990      2b11faaafc40 _IO_no_init
  95:         1076   0.000  99.991      2b11faaa4420 _IO_padn
  96:         1073   0.000  99.991      2b11faabd310 __strlen_sse2
  97:         1029   0.000  99.991      2b11fa527340 _gfortran_flush_i4
  98:          929   0.000  99.992        3bc4018530 memcpy
  99:          918   0.000  99.992      2b11faab06a0 _IO_setb
 100:          900   0.000  99.992        3bc4017390 index
 101:          892   0.000  99.992      2b11faa7df30 __mpn_lshift
 102:          891   0.000  99.993        3bc4015de0 __strsep_g
 103:          864   0.000  99.993      2b11faa6e620 __sigsetjmp
 104:          846   0.000  99.993      2b11faabd540 __strncmp_sse2
 105:          828   0.000  99.993      2b11faa7f5d0 __mpn_extract_double
 106:          712   0.000  99.993      2b11faa68110 __ctype_b_loc
 107:          684   0.000  99.994        3bc400e140 _dl_catch_error
 108:          670   0.000  99.994      2b11faab2110 malloc_consolidate
 109:          650   0.000  99.994      2b11faab2890 ptmalloc_init
 110:          611   0.000  99.994      2b11faaae450 _IO_file_sync
 111:          589   0.000  99.994      2b11faacc330 intel_02_known_compare
 112:          573   0.000  99.995        3bc4015c10 _dl_next_ld_env_entry
 113:          566   0.000  99.995      2b11faa7fc60 _itoa_word
 114:          544   0.000  99.995        3bc4015870 _dl_sysdep_start
 115:          544   0.000  99.995        3bc4006510 _dl_init_paths
 116:          539   0.000  99.995      2b11faab64e0 __libc_calloc
 117:          496   0.000  99.995        3bc400e9e0 _dl_fini
 118:          478   0.000  99.995      2b11fa487e50 _gfortran_store_exe_path
 119:          468   0.000  99.996        3bc4017c10 memmove
 120:          468   0.000  99.996      2b11faa6db60 __isinf
 121:          446   0.000  99.996      2b11faabf9b0 memmove
 122:          441   0.000  99.996      2b11faacc4c0 intel_check_word
 123:          438   0.000  99.996      2b11fab6ed50 __strlen_sse42
 124:          432   0.000  99.996      2b11faa6e680 __sigjmp_save
 125:          423   0.000  99.996        3bc400ac20 _dl_add_to_namespace_list
 127:          393   0.000  99.996      2b11fab34510 __libc_pthread_init
 128:          373   0.000  99.996            403add print_results_
 129:          371   0.000  99.997        3bc4001130 _dl_start
 130:          361   0.000  99.997        3bc40170b0 __GI___sigsetjmp
 131:          332   0.000  99.997        3bc40115b0 _dl_allocate_tls_storage
 132:          329   0.000  99.997      2b11fa5326a0 _gfortran_st_write
 133:          328   0.000  99.997        3bc4015030 _dl_important_hwcaps
 134:          323   0.000  99.997        3bc400c290 openaux
 135:          314   0.000  99.997      2b11faa7da40 __mpn_cmp
 136:          310   0.000  99.997        3bc6c038c0 omp_set_dynamic
 137:          293   0.000  99.997        3bc400e480 _dl_init
 138:          282   0.000  99.997      2b11faa720a0 __cxa_finalize
 139:          265   0.000  99.997        3bc4017700 bcmp
 140:          260   0.000  99.997        3bc4004cc0 fillin_rpath
 141:          260   0.000  99.998        3bc4016d60 open64
 142:          259   0.000  99.998      2b11fa7a4520 __finite
 143:          252   0.000  99.998      2b11fa52c920 _gfortran_st_open
 144:          252   0.000  99.998      2b11faa6dba0 __isnan
 145:          250   0.000  99.998      2b11fa486790 _gfortran_convert_char1_to_char4
 146:          240   0.000  99.998      2b11faa73820 __GI_____strtoul_l_internal
 147:          230   0.000  99.998        3bc4009170 _dl_setup_hash
 148:          217   0.000  99.998        3bc4c066f0 do_clone.clone.0
 149:          198   0.000  99.998      2b11fa52e540 _gfortran_transfer_integer
 150:          191   0.000  99.998      2b11fa78f270 __ieee754_pow
 151:          189   0.000  99.998        3bc4016130 calloc
 152:          171   0.000  99.998        3bc4c05730 __pthread_initialize_minimal
 153:          169   0.000  99.998        3bc400fff0 _dl_check_all_versions
 154:          156   0.000  99.998        3bc4010ed0 _dl_allocate_tls_init
 155:          150   0.000  99.998        3bc4001d40 process_envvars
 156:          150   0.000  99.998        3bc4016080 malloc
 157:          146   0.000  99.998      2b11faacc840 init_cacheinfo
 158:          144   0.000  99.998      2b11faa73090 strtol
 159:          143   0.000  99.999      2b11fa52e5a0 _gfortran_transfer_character
 160:          138   0.000  99.999        3bc4016f60 mmap64
 161:          129   0.000  99.999        3bc4000a90 .plt
 162:          128   0.000  99.999        3bc4c0f510 __libc_sigaction
 163:          126   0.000  99.999      2b11fab248a0 __clone
 164:          126   0.000  99.999      2b11fab34370 __unregister_atfork
 165:          119   0.000  99.999        3bc4004c60 local_strdup
 166:          116   0.000  99.999        3bc40116f0 _dl_determine_tlsoffset
 167:          113   0.000  99.999      2b11fab16d60 popcount_cpucount
 168:          108   0.000  99.999      2b11faa5a980 .plt
 169:          106   0.000  99.999      2b11faacc750 handle_intel
 170:          105   0.000  99.999            401f16 makea_
 171:           99   0.000  99.999        3bc40024c0 init_tls
 172:           98   0.000  99.999        3bc4016ce0 __GI___xstat
 173:           96   0.000  99.999      2b11faa6e6d0 _setjmp
 174:           95   0.000  99.999        3bc400ed40 _dl_debug_initialize
 175:           95   0.000  99.999        3bc400b130 _dl_protect_relro
 176:           93   0.000  99.999      2b11fa541740 _gfortran_random_seed_i4
 177:           91   0.000  99.999        3bc4c051f8 .plt
 178:           88   0.000  99.999      2b11faabedf0 __strrchr_sse2
 179:           88   0.000  99.999      2b11fa488110 _gfortran_stop_numeric
 180:           88   0.000  99.999      2b11fa78a330 __exp1
 181:           84   0.000  99.999        3bc5803e10 clock_gettime
 182:           82   0.000  99.999        3bc6c03820 GOMP_atomic_start
 183:           82   0.000  99.999        3bc6c03850 GOMP_atomic_end
 184:           80   0.000  99.999        3bc4016d20 __fxstat64
 185:           77   0.000  99.999      2b11faaafe10 _IO_flush_all_lockp
 186:           72   0.000  99.999        3bc4018690 _wordcopy_fwd_aligned
 187:           72   0.000  99.999        3bc4010ca0 _dl_add_to_slotinfo
 188:           65   0.000  99.999        3bc4014e60 _dl_discover_osversion
 189:           60   0.000  99.999        3bc4016fc0 mprotect
 190:           60   0.000  99.999      2b11fab1d2e0 __getpagesize
